Name,ROUGE-L,BLEU-4,METEOR,BERTScore,BLEURT,SIDE_true,SIDE_pred
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-7-eval.json/streamlink/streamlink,0.2467235783311897,0.005342558816631886,0.31299199872913464,0.6747033052347802,0.516169352507269,0.22773472655161814,0.4507255854236113
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-7-eval.json/open-mmlab/mmcv,0.3049993791171973,0.031075702825183762,0.42609467325175904,0.6910588949918747,0.5330377447108428,0.20503506852934758,0.4725279326861103
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-1-eval.json/total,0.17377924093292232,0.012314724892897679,0.3012128950680584,0.5904333047920066,0.4760298872593023,0.21233642402176672,0.6922516639300486
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-1-eval.json/apache/airflow,0.16848024016321483,0.004414341134684695,0.27058944145777125,0.5887847282606012,0.47008429439628824,0.19128735236385289,0.6812974223801318
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-1-eval.json/Azure/azure-sdk-for-python,0.19422005016625327,0.030258764297701322,0.37123648913615337,0.6047458734348236,0.4879263393309435,0.24571481429281747,0.6484628073599658
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-1-eval.json/streamlink/streamlink,0.16618832728787727,0.0027687382836270877,0.27681870416412085,0.5876171073398074,0.48382796024953995,0.22773472655161814,0.7336006641790673
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-1-eval.json/open-mmlab/mmcv,0.13652795853669117,0.006179531115231738,0.2599513980087887,0.5466639578342438,0.45955315232276917,0.20503506852934758,0.8991112341483434
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-8-eval.json/total,0.33398454279915035,0.07476556089460759,0.3990789556458961,0.7041283123028781,0.5502006504546029,0.21233642402176672,0.30675765007466227
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-8-eval.json/apache/airflow,0.2896467823462953,0.02851599125300251,0.3321252013902658,0.6818497898298151,0.5223116548622355,0.19128735236385289,0.260986431692453
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-8-eval.json/Azure/azure-sdk-for-python,0.4392242540967183,0.18251061312880518,0.5277829545735624,0.7518660319961517,0.6089155585900975,0.24571481429281747,0.3227436355794007
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-8-eval.json/streamlink/streamlink,0.2773578357003975,0.02001003159317309,0.3348097908635069,0.6882897728198284,0.5324170170603572,0.22773472655161814,0.4082940077862224
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-8-eval.json/open-mmlab/mmcv,0.2846464732536723,0.026348033630299313,0.4227685559359895,0.6849484324455262,0.5279711452623208,0.20503506852934758,0.43993329877654713
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-5-eval.json/total,0.3027834806164938,0.05717638640570782,0.3866059259793819,0.6825494089582126,0.5375991562386009,0.21233642402176672,0.40613801523617865
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-5-eval.json/apache/airflow,0.27267153075670625,0.022123673026015672,0.3346057054481492,0.6674220169291777,0.5174523320969413,0.19128735236385289,0.33271040875245544
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-5-eval.json/Azure/azure-sdk-for-python,0.3985391414987757,0.14350524246571797,0.5024914156296888,0.7315918656013273,0.5884663594155176,0.24571481429281747,0.40490173436852117
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-5-eval.json/streamlink/streamlink,0.23268636491970077,0.01258718708862262,0.3204113446667112,0.6477755642420536,0.5073216611871848,0.22773472655161814,0.556658556835877
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-5-eval.json/open-mmlab/mmcv,0.20833543085064077,0.005072661222557823,0.3595188726341464,0.6306980644663175,0.508244751393795,0.20503506852934758,0.7456975827614466
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-3-eval.json/total,0.2756779026622739,0.053597508677815126,0.3711477433371428,0.6560436154787357,0.5199749938422634,0.21233642402176672,0.568350639647201
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-3-eval.json/apache/airflow,0.22787211658403822,0.015763776194700218,0.3106937308983644,0.6323829719599555,0.49171451712355896,0.19128735236385289,0.580660072231994
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-3-eval.json/Azure/azure-sdk-for-python,0.40297367556676295,0.1443563575107421,0.5123248912188962,0.7253031706520421,0.5854197268785253,0.24571481429281747,0.445822119139708
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-3-eval.json/streamlink/streamlink,0.20809455179681602,0.00940307227768109,0.3054770280339551,0.6196940581540804,0.49639421097330144,0.22773472655161814,0.6603481471538544
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-3-eval.json/open-mmlab/mmcv,0.1736207549936957,0.0024689909644951885,0.29917828820587444,0.5833524589737257,0.4798221851388613,0.20503506852934758,0.8721043090025584
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-9-eval.json/total,0.3415354863532341,0.07747197243414974,0.3975660159941065,0.7112449794711901,0.5526947514812645,0.21233642402176672,0.2571263796125282
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-9-eval.json/apache/airflow,0.2979298892674263,0.030351805393140148,0.3326965824241506,0.6897852445349973,0.5240701093393214,0.19128735236385289,0.20189726287389503
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-9-eval.json/Azure/azure-sdk-for-python,0.44430228146497536,0.18472902019450316,0.5218706409734497,0.7574006760651283,0.6106857487305939,0.24571481429281747,0.3342462141323186
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-9-eval.json/streamlink/streamlink,0.25969106502712364,0.015729088918863165,0.31536778352930017,0.6850182204633146,0.5288446032114931,0.22773472655161814,0.32094805964545625
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-9-eval.json/open-mmlab/mmcv,0.32829327880323217,0.045847865363366526,0.44671495098958847,0.7055901537338892,0.5461382108430067,0.20503506852934758,0.25214256569743154
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-10-eval.json/total,0.35040563927464174,0.08067726130321287,0.39733783524435456,0.7173506630117781,0.5596588753515083,0.21233642402176672,0.19952465471795416
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-10-eval.json/apache/airflow,0.3124348652903756,0.034936496568641236,0.335107393449102,0.6977734449330498,0.5313990905355005,0.19128735236385289,0.11774075268822558
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-10-eval.json/Azure/azure-sdk-for-python,0.4456139246599548,0.18744136615335893,0.5183488828171203,0.758348378213311,0.6156058318701833,0.24571481429281747,0.31332574475571695
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-10-eval.json/streamlink/streamlink,0.2809121107688889,0.027513867270983223,0.3166605804916445,0.7005525585767385,0.541999829782022,0.22773472655161814,0.24920806661248207
deepseek-coder-7b-instruct-v1.5/method-level-mcsn-few-shot-10-eval.json/open-mmlab/mmcv,0.3131331986507421,0.0307302991797437,0.43947659964784475,0.7079663589596749,0.5512968696653843,0.20503506852934758,0.24906993210315703
deepseek-coder-7b-instruct-v1.5/method-level-mce-few-shot-10-eval.json,0.3801315339629582,0.08227280191120592,0.4294159263895827,0.7150274985283613,0.5988631446659565,0.47645998092368247,0.5866364050377161
